Brand,Model,Kilometers,Year,Fuel Type,Transmission Type,Engine Capacity (CC),Body Type,Price_EGP
Geely,Okavango,22000,2024,Hybrid,Automatic,1500,SUV,"EGP 1,250,000"
Opel,Vectra,265000,2008,Benzine,Automatic,1600,Sedan,"EGP 460,000"
Opel,Vectra,180500,1996,Benzine,Automatic,2000,Sedan,"EGP 265,000"
BMW,X5,120000,2021,Benzine,Automatic,4400,SUV,"EGP 4,150,000"
BMW,520,17000,2024,Benzine,Automatic,2000,Sedan,"EGP 4,200,000"
Land Rover,Range Rover Vogue,7000,2024,Benzine,Automatic,,SUV,"EGP 13,850,000"
Renault,Kadjar,125000,2017,Benzine,Automatic,,SUV,"EGP 710,000"
Mercedes-Benz,C180,48000,2018,Benzine,Automatic,1600,Sedan,"EGP 2,090,000"
Volkswagen,Tiguan,194800,2015,Benzine,Automatic,1400,SUV,"EGP 945,000"
Mercedes-Benz,C180,125000,2012,Benzine,Automatic,1600,Sedan,"EGP 1,250,000"
Fiat,Tipo,28000,2022,Benzine,Automatic,1600,Sedan,"EGP 750,000"
BMW,316,236000,2006,Benzine,Manual,1600,Sedan,"EGP 550,000"
Toyota,C-HR,65000,2022,Benzine,Automatic,1200,Hatchback,"EGP 1,370,000"
Skoda,Octavia,8000,2024,Benzine,Automatic,1400,Sedan,"EGP 1,550,000"
Mercedes-Benz,GLA 200,133500,2019,Benzine,Automatic,,SUV,"EGP 1,475,000"
Opel,Vectra,150000,2008,Benzine,Automatic,1600,Sedan,"EGP 410,000"
Opel,Astra,123000,2019,Benzine,Automatic,1400,Sedan,"EGP 610,000"
Mercedes-Benz,E350,290000,2007,Benzine,Automatic,3000,Sedan,"EGP 1,250,000"
Mercedes-Benz,C200,16000,2023,Benzine,Automatic,1600,Convertible,"EGP 3,075,000"
Kia,Picanto,130,2019,Benzine,Automatic,1250,Hatchback,"EGP 550,000"
MG,MG 5,113000,2021,Benzine,Automatic,1600,Sedan,"EGP 690,000"
Renault,Optima,100000,1997,Benzine,Manual,1300,Sedan,"EGP 100,000"
Hyundai,Excel,102222,1997,Benzine,Manual,1500,Sedan,"EGP 140,000"
BMW,X5 M,50000,2023,Benzine,Automatic,4400,4X4,"EGP 5,300,000"
Mazda,323,99999,1982,Benzine,Manual,1300,Sedan,"EGP 75,000"
Daihatsu,Grand Terios,214000,2010,Benzine,Automatic,1600,Hatchback,"EGP 500,000"
BMW,318,200000,2016,Benzine,Automatic,1800,Sedan,"EGP 900,000"
Opel,Astra,104000,2021,Benzine,Automatic,1400,Sedan,"EGP 750,000"
Citroen,C4X,32000,2024,Benzine,Automatic,1200,SUV,"EGP 1,200,000"
BMW,X5,139000,2015,Benzine,Automatic,,SUV,"EGP 2,100,000"
Mazda,3,148000,2020,Benzine,Automatic,,Sedan,"EGP 810,000"
Chevrolet,Cruze,137000,2010,Benzine,Automatic,,Sedan,"EGP 345,000"
Hyundai,Elantra,315000,1995,Benzine,Manual,1600,Sedan,"EGP 160,000"
BMW,X1,140000,2018,Benzine,Automatic,2000,SUV,"EGP 1,500,000"
Chevrolet,Lanos,290000,2011,Benzine,Manual,1500,Sedan,"EGP 250,000"
Chevrolet,Cruze,272000,2011,Benzine,Automatic,,Sedan,"EGP 395,000"
Seat,Ibiza,110000,2006,Benzine,Automatic,1400,Hatchback,"EGP 330,000"
Kia,Cerato,100,2013,Benzine,Automatic,1600,Sedan,"EGP 690,000"
Mercedes-Benz,C180,40500,2022,Benzine,Automatic,1500,Sedan,"EGP 3,100,000"
Suzuki,Swift,180000,1996,Benzine,Manual,1300,Sedan,"EGP 125,000"
MG,RX5,135000,2021,Benzine,Automatic,,SUV,"EGP 840,000"
Mitsubishi,Pajero,100000,2014,Benzine,Automatic,3500,4X4,"EGP 1,700,000"
Speranza,A516,100000,2009,Benzine,Manual,1800,Sedan,"EGP 168,000"
BMW,320,200000,2012,Benzine,Automatic,2000,Sedan,"EGP 800,000"
Kia,Rio,200000,2003,Benzine,Manual,,,"EGP 280,000"
Jeep,Grand Cherokee,173000,2016,Benzine,Automatic,5700,SUV,"EGP 1,680,000"
Chevrolet,Optra,140000,2006,Benzine,Automatic,,,"EGP 255,000"
